Name                                                        Stmts   Miss  Coverage
numpy\f2py\_backends\_distutils.py                            35      8    77%
numpy\f2py\_backends\_meson.py                               104    104     0%
numpy\f2py\_isocbind.py                                        7      0   100%
numpy\f2py\_src_pyf.py                                       146     27    82%
numpy\f2py\auxfuncs.py                                       597    133    78%
numpy\f2py\capi_maps.py                                      487    249    49%
numpy\f2py\cb_rules.py                                       108     98     9%
numpy\f2py\cfuncs.py                                         239     40    83%
numpy\f2py\common_rules.py                                   110     75    32%
numpy\f2py\crackfortran.py                                  2609   1122    57%
numpy\f2py\diagnose.py                                       130    124     5%
numpy\f2py\f2py2e.py                                         452    105    77%
numpy\f2py\f90mod_rules.py                                   168     61    64%
numpy\f2py\func2subr.py                                      252    133    47%
numpy\f2py\rules.py                                          278     36    87%
numpy\f2py\setup.py                                           16     16     0%
numpy\f2py\symbolic.py                                      1004    602    40%
numpy\f2py\tests\__init__.py                                   0      0   100%
numpy\f2py\tests\test_abstract_interface.py                   18      6    67%
numpy\f2py\tests\test_array_from_pyobj.py                    452    347    23%
numpy\f2py\tests\test_assumed_shape.py                        31     11    65%
numpy\f2py\tests\test_block_docstring.py                      11      2    82%
numpy\f2py\tests\test_callback.py                            148    113    24%
numpy\f2py\tests\test_character.py                           264    184    30%
numpy\f2py\tests\test_common.py                               18      5    72%
numpy\f2py\tests\test_compile_function.py                     44     27    39%
numpy\f2py\tests\test_crackfortran.py                        202     49    76%
numpy\f2py\tests\test_data.py                                 52     33    37%
numpy\f2py\tests\test_docs.py                                 30     15    50%
numpy\f2py\tests\test_f2cmap.py                                9      4    56%
numpy\f2py\tests\test_f2py2e.py                              422     33    92%
numpy\f2py\tests\test_isoc.py                                 33     14    58%
numpy\f2py\tests\test_kind.py                                 20      9    55%
numpy\f2py\tests\test_mixed.py                                15      5    67%
numpy\f2py\tests\test_module_doc.py                           12      1    92%
numpy\f2py\tests\test_parameter.py                            67     43    36%
numpy\f2py\tests\test_pyf_src.py                              11      0   100%
numpy\f2py\tests\test_quoted_character.py                      8      1    88%
numpy\f2py\tests\test_regression.py                           44     18    59%
numpy\f2py\tests\test_return_character.py                     33     18    45%
numpy\f2py\tests\test_return_complex.py                       46     35    24%
numpy\f2py\tests\test_return_integer.py                       35     24    31%
numpy\f2py\tests\test_return_logical.py                       53     40    25%
numpy\f2py\tests\test_return_real.py                          54     33    39%
numpy\f2py\tests\test_semicolon_split.py                      20      2    90%
numpy\f2py\tests\test_size.py                                 32     20    38%
numpy\f2py\tests\test_string.py                               76     57    25%
numpy\f2py\tests\test_symbolic.py                            354    339     4%
numpy\f2py\tests\test_value_attrspec.py                       10      4    60%
numpy\f2py\tests\util.py                                     219    138    37%
numpy\f2py\use_rules.py                                       42     36    14%
numpy\fft\__init__.py                                          8      0   100%
numpy\fft\_pocketfft.py                                      164      9    95%
numpy\fft\helper.py                                           46      2    96%
numpy\fft\tests\__init__.py                                    0      0   100%
numpy\fft\tests\test_helper.py                               103      0   100%
numpy\fft\tests\test_pocketfft.py                            187      1    99%
numpy\lib\__init__.py                                         60      0   100%
numpy\lib\_datasource.py                                     176     28    84%
numpy\lib\_iotools.py                                        352     30    91%
numpy\lib\_version.py                                         75      8    89%
numpy\lib\arraypad.py                                        224      0   100%
numpy\lib\arraysetops.py                                     238      1    99%
numpy\lib\arrayterator.py                                     72      8    89%
numpy\lib\format.py                                          272     25    91%
numpy\lib\function_base.py                                  1266     45    96%
numpy\lib\histograms.py                                      272      7    97%
numpy\lib\index_tricks.py                                    256     23    91%
numpy\lib\mixins.py                                           60      0   100%
numpy\lib\nanfunctions.py                                    303      7    98%
numpy\lib\npyio.py                                           795     59    93%
numpy\lib\polynomial.py                                      439     60    86%
numpy\lib\recfunctions.py                                    599     41    93%
numpy\lib\scimath.py                                          70     38    46%
numpy\lib\setup.py                                            10     10     0%
numpy\lib\shape_base.py                                      253     23    91%
numpy\lib\stride_tricks.py                                    91      0   100%
numpy\lib\tests\__init__.py                                    0      0   100%
numpy\lib\tests\test__datasource.py                          233      6    97%
numpy\lib\tests\test__iotools.py                             217      0   100%
numpy\lib\tests\test__version.py                              39      0   100%
numpy\lib\tests\test_arraypad.py                             512      0   100%
numpy\lib\tests\test_arraysetops.py                          617      0   100%
numpy\lib\tests\test_arrayterator.py                          28      1    96%
numpy\lib\tests\test_financial_expired.py                      9      0   100%
numpy\lib\tests\test_format.py                               371     17    95%
numpy\lib\tests\test_function_base.py                       2767     15    99%
numpy\lib\tests\test_histograms.py                           479      6    99%
numpy\lib\tests\test_index_tricks.py                         321      0   100%
numpy\lib\tests\test_io.py                                  1877     49    97%
numpy\lib\tests\test_loadtxt.py                              548      1    99%
numpy\lib\tests\test_mixins.py                               123      0   100%
numpy\lib\tests\test_nanfunctions.py                         891      0   100%
numpy\lib\tests\test_packbits.py                             167      0   100%
numpy\lib\tests\test_polynomial.py                           199      0   100%
numpy\lib\tests\test_recfunctions.py                         557      0   100%
numpy\lib\tests\test_regression.py                           157      8    95%
numpy\lib\tests\test_shape_base.py                           519      5    99%
numpy\lib\tests\test_stride_tricks.py                        299     11    96%
numpy\lib\tests\test_twodim_base.py                          289      0   100%
numpy\lib\tests\test_type_check.py                           347      0   100%
numpy\lib\tests\test_ufunclike.py                             77      0   100%
numpy\lib\tests\test_utils.py                                129      8    94%
numpy\lib\twodim_base.py                                     178     16    91%
numpy\lib\type_check.py                                      131      3    98%
numpy\lib\ufunclike.py                                        32      0   100%
numpy\lib\user_array.py                                      173    104    40%
numpy\lib\utils.py                                           493    186    62%
numpy\linalg\__init__.py                                       6      0   100%
numpy\linalg\linalg.py                                       669     15    98%
numpy\linalg\tests\__init__.py                                 0      0   100%
numpy\linalg\tests\test_deprecations.py                        8      0   100%
numpy\linalg\tests\test_linalg.py                           1310     59    95%
numpy\linalg\tests\test_regression.py                         87      0   100%
numpy\ma\__init__.py                                          10      0   100%
numpy\ma\core.py                                            2460    207    92%
numpy\ma\extras.py                                           579     97    83%
numpy\ma\mrecords.py                                         359     91    75%
numpy\ma\setup.py                                             10     10     0%
numpy\ma\tests\__init__.py                                     0      0   100%
numpy\ma\tests\test_core.py                                 3950      6    99%
numpy\ma\tests\test_deprecations.py                           45      0   100%
numpy\ma\tests\test_extras.py                               1282      3    99%
numpy\ma\tests\test_mrecords.py                              330     10    97%
numpy\ma\tests\test_old_ma.py                                701      9    99%
numpy\ma\tests\test_regression.py                             61      0   100%
numpy\ma\tests\test_subclassing.py                           298     10    97%
numpy\ma\testutils.py                                        127     28    78%
numpy\ma\timer_comparison.py                                 336    304    10%
numpy\matlib.py                                               45      4    91%
numpy\matrixlib\__init__.py                                    6      0   100%
numpy\matrixlib\defmatrix.py                                 238     14    94%
numpy\matrixlib\setup.py                                      10     10     0%
numpy\matrixlib\tests\__init__.py                              0      0   100%
numpy\matrixlib\tests\test_defmatrix.py                      328      0   100%
numpy\matrixlib\tests\test_interaction.py                    216      6    97%
numpy\matrixlib\tests\test_masked_matrix.py                  171      3    98%
numpy\matrixlib\tests\test_matrix_linalg.py                   35      0   100%
numpy\matrixlib\tests\test_multiarray.py                      12      0   100%
numpy\matrixlib\tests\test_numeric.py                         13      0   100%
numpy\matrixlib\tests\test_regression.py                      21      0   100%
numpy\polynomial\__init__.py                                  18      0   100%
numpy\polynomial\_polybase.py                                431     66    85%
numpy\polynomial\chebyshev.py                                357     23    94%
numpy\polynomial\hermite.py                                  267      6    98%
numpy\polynomial\hermite_e.py                                264      6    98%
numpy\polynomial\laguerre.py                                 252      5    98%
